ID,Data,Sexo,Idade,Horário,CAUSA DA MORTE,Local,Latitude,Longitude,Município,Classificação
88,03/02/2017,masculino,35,01:00:00,ARMA DE FOGO,Residencial Eugênio Pereira,"-2,491437","-44,165854",Paço do Lumiar,MORTE DECORRENTE DE INTERVENÇÃO POLICIAL
89,03/02/2017,masculino,32,18:47:00,ARMA BRANCA,Tibiri,"-2,617826","-44,25087",São Luís,HOMICÍDIO DOLOSO
90,04/02/2017,masculino,23,14:00:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
91,04/02/2017,masculino,18,14:00:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
92,05/02/2017,feminino,16,00:01:00,ARMA BRANCA,Barreto,"-2,547431","-44,259281",São Luís,HOMICÍDIO DOLOSO
93,05/02/2017,masculino,27,11:57:00,ARMA DE FOGO,Solar dos Lusitanos,"-2,527902","-44,222438",São Luís,HOMICÍDIO DOLOSO
94,05/02/2017,feminino,46,05:02:00,ARMA BRANCA,Vila São José – PCL,"-2,519156","-44,169481",Paço do Lumiar,HOMICÍDIO DOLOSO
95,05/02/2017,masculino,30,19:00:00,ARMA DE FOGO,Vila Vitória,"-2,608866","-44,203942",São Luís,HOMICÍDIO DOLOSO
96,05/02/2017,masculino,26,16:00:00,ESPANCAMENTO,Vila Vitória,"-2,608866","-44,203942",São Luís,HOMICÍDIO DOLOSO
97,05/02/2017,masculino,30,19:00:00,ESPANCAMENTO,Vila Vitória,"-2,608866","-44,203942",São Luís,HOMICÍDIO DOLOSO
98,06/02/2017,masculino,29,13:30:00,ARMA DE FOGO,Vila Conceição – Coroadinho,"-2,568449","-44,261609",São Luís,HOMICÍDIO DOLOSO
99,06/02/2017,masculino,20,01:19:00,ARMA DE FOGO,Residencial Magnólia,"-2,645552","-44,277745",São Luís,HOMICÍDIO DOLOSO
100,06/02/2017,masculino,22,21:06:00,ARMA DE FOGO,Santa Clara,"-2,598936","-44,200004",São Luís,HOMICÍDIO DOLOSO
101,07/02/2017,masculino,16,18:22:00,ARMA DE FOGO,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
102,07/02/2017,masculino,27,15:21:00,ARMA DE FOGO,Residencial 2000,"-2,649507","-44,271212",São Luís,HOMICÍDIO DOLOSO
103,07/02/2017,masculino,19,12:13:00,ARMA DE FOGO,São Brás dos Macacos,"-2,590044","-44,165545",São José de Ribamar,HOMICÍDIO DOLOSO
104,08/02/2017,masculino,24,19:46:00,ARMA DE FOGO,Conjunto Rio Anil,"-2,536284","-44,248338",São Luís,HOMICÍDIO DOLOSO
105,08/02/2017,masculino,38,20:53:00,ARMA DE FOGO,Liberdade,"-2,527837","-44,285545",São Luís,HOMICÍDIO DOLOSO
106,09/02/2017,masculino,31,02:00:00,ARMA DE FOGO,Coqueiro,"-2,732328","-44,356956",São Luís,HOMICÍDIO DOLOSO
107,09/02/2017,feminino,33,02:00:00,ARMA DE FOGO,Coqueiro,"-2,732328","-44,356956",São Luís,HOMICÍDIO DOLOSO
108,09/02/2017,masculino,58,19:00:00,ARMA DE FOGO,Vila Mauro Fecury II,"-2,551964","-44,33302",São Luís,HOMICÍDIO DOLOSO
109,09/02/2017,masculino,17,03:10:00,ARMA DE FOGO,Vila São José – SJR,"-2,548224","-44,085131",São José de Ribamar,HOMICÍDIO DOLOSO
110,09/02/2017,masculino,46,06:30:00,ARMA DE FOGO,Vila São José – SJR,"-2,548224","-44,085131",São José de Ribamar,HOMICÍDIO DOLOSO
111,11/02/2017,masculino,50,02:00:00,ARMA BRANCA,Vila Mauro Fecury I,"-2,541128","-44,332387",São Luís,HOMICÍDIO DOLOSO
112,12/02/2017,masculino,36,06:30:00,ARMA DE FOGO,Camboa,"-2,524172","-44,291157",São Luís,HOMICÍDIO DOLOSO
113,12/02/2017,masculino,22,03:43:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
114,12/02/2017,feminino,44,23:11:00,ESPANCAMENTO,Piçarreira,"-2,550089","-44,10882",São José de Ribamar,HOMICÍDIO DOLOSO
115,12/02/2017,masculino,31,21:30:00,ARMA DE FOGO,Vila Mauro Fecury I,"-2,541128","-44,332387",São Luís,HOMICÍDIO DOLOSO
